imagen_idx,y0,y1,x0,x1,score_abs,score_pct
0,144,160,208,224,0.007090581115335226,0.020191936943676714
0,96,112,112,128,0.006536616012454033,0.01861440355897534
0,144,160,192,208,0.006295541301369667,0.017927892074831565
0,80,96,112,128,0.005893671419471502,0.01678348216217987
0,96,112,128,144,0.005872526206076145,0.0167232666722793
0,80,96,128,144,0.005280173849314451,0.015036417422321183
0,208,224,112,128,0.004247527569532394,0.01209573763496417
0,160,176,208,224,0.004239393398165703,0.01207257385294776
1,64,80,32,48,0.005101227201521397,0.017785892700333785
1,112,128,96,112,0.004286160692572594,0.014944089169709714
1,80,96,32,48,0.004196961876004934,0.014633089381267436
1,80,96,16,32,0.004015323705971241,0.013999791377692776
1,0,16,0,16,0.0039794244803488255,0.013874625461782399
1,64,80,16,32,0.003976691048592329,0.013865095103301164
1,80,96,0,16,0.003954777028411627,0.013788689878407303
1,96,112,0,16,0.0037883417680859566,0.013208398202549062
2,144,160,208,224,0.005175860598683357,0.0245486038448624
2,144,160,192,208,0.0047281957231462,0.02242537284292683
2,160,176,208,224,0.0038986578583717346,0.018490955362316628
2,160,176,192,208,0.0035972045734524727,0.017061191726275526
2,144,160,176,192,0.00343098072335124,0.016272808158383268
2,160,176,176,192,0.002753883833065629,0.01306140340601455
2,128,144,0,16,0.002651195041835308,0.012574360448199536
2,144,160,64,80,0.0025993925519287586,0.012328666272584207
3,208,224,144,160,0.0038983889389783144,0.01599119055269805
3,96,112,64,80,0.0037396575789898634,0.01534007454965258
3,144,160,144,160,0.0037337576504796743,0.01531587304422802
3,208,224,160,176,0.0037039327435195446,0.01519353128257175
3,208,224,176,192,0.003509477013722062,0.014395873922587945
3,96,112,0,16,0.0034731910564005375,0.014247028933799413
3,64,80,96,112,0.0033448701724410057,0.013720656696598957
3,96,112,16,32,0.003321940079331398,0.013626597459809991
