modelo,tipo,imagen_idx,paso,prob
Swin,deletion,0,0,0.6312457919120789
Swin,deletion,0,1,0.617568850517273
Swin,deletion,0,2,0.5955743193626404
Swin,deletion,0,3,0.5461359620094299
Swin,deletion,0,4,0.5657148957252502
Swin,deletion,0,5,0.5608715415000916
Swin,deletion,0,6,0.5661215782165527
Swin,deletion,0,7,0.5503795146942139
Swin,deletion,0,8,0.5488775968551636
Swin,deletion,0,9,0.5267833471298218
Swin,deletion,0,10,0.5258123278617859
Swin,deletion,0,11,0.5296633839607239
Swin,deletion,0,12,0.5056076049804688
Swin,deletion,0,13,0.5381969809532166
Swin,deletion,0,14,0.514983594417572
Swin,deletion,0,15,0.5148014426231384
Swin,deletion,0,16,0.5342302322387695
Swin,deletion,0,17,0.527654767036438
Swin,deletion,0,18,0.4942437708377838
Swin,deletion,0,19,0.4847617447376251
Swin,deletion,0,20,0.4896508455276489
Swin,deletion,0,21,0.4880942404270172
Swin,deletion,0,22,0.5414283275604248
Swin,deletion,0,23,0.5184643268585205
Swin,deletion,0,24,0.49468994140625
Swin,deletion,0,25,0.4653794467449188
Swin,deletion,0,26,0.4617239236831665
Swin,deletion,0,27,0.41771119832992554
Swin,deletion,0,28,0.45973408222198486
Swin,deletion,0,29,0.46533817052841187
Swin,deletion,0,30,0.3946042060852051
Swin,deletion,0,31,0.4270118772983551
Swin,deletion,0,32,0.4165176749229431
Swin,deletion,0,33,0.4266517758369446
Swin,deletion,0,34,0.4049915671348572
Swin,deletion,0,35,0.4298912584781647
Swin,deletion,0,36,0.4062148332595825
Swin,deletion,0,37,0.39766553044319153
Swin,deletion,0,38,0.3956281542778015
Swin,deletion,0,39,0.3735717236995697
Swin,deletion,0,40,0.38318344950675964
Swin,deletion,0,41,0.403046190738678
Swin,deletion,0,42,0.35540705919265747
Swin,deletion,0,43,0.40907198190689087
Swin,deletion,0,44,0.4370972514152527
Swin,deletion,0,45,0.4019373655319214
Swin,deletion,0,46,0.49115464091300964
Swin,deletion,0,47,0.38085171580314636
Swin,deletion,0,48,0.3344293236732483
Swin,deletion,0,49,0.26898086071014404
Swin,deletion,1,0,0.5985870361328125
Swin,deletion,1,1,0.5937363505363464
Swin,deletion,1,2,0.5700268745422363
Swin,deletion,1,3,0.550103485584259
Swin,deletion,1,4,0.5589677691459656
Swin,deletion,1,5,0.5689924359321594
Swin,deletion,1,6,0.5578997731208801
Swin,deletion,1,7,0.5457866191864014
Swin,deletion,1,8,0.5444140434265137
Swin,deletion,1,9,0.5088937878608704
Swin,deletion,1,10,0.5238900780677795
Swin,deletion,1,11,0.5408976078033447
Swin,deletion,1,12,0.5236502289772034
Swin,deletion,1,13,0.5303998589515686
Swin,deletion,1,14,0.5341680645942688
Swin,deletion,1,15,0.522370457649231
Swin,deletion,1,16,0.5248958468437195
Swin,deletion,1,17,0.5083825588226318
Swin,deletion,1,18,0.5249099731445312
Swin,deletion,1,19,0.5406416058540344
Swin,deletion,1,20,0.4999203383922577
Swin,deletion,1,21,0.49528324604034424
Swin,deletion,1,22,0.5262747406959534
Swin,deletion,1,23,0.5092289447784424
Swin,deletion,1,24,0.5259986519813538
Swin,deletion,1,25,0.5207535624504089
Swin,deletion,1,26,0.4525066614151001
Swin,deletion,1,27,0.5094730854034424
Swin,deletion,1,28,0.517250657081604
Swin,deletion,1,29,0.5459867119789124
Swin,deletion,1,30,0.4404853284358978
Swin,deletion,1,31,0.46341919898986816
Swin,deletion,1,32,0.51427161693573
Swin,deletion,1,33,0.4895399510860443
Swin,deletion,1,34,0.5154790282249451
Swin,deletion,1,35,0.505665123462677
Swin,deletion,1,36,0.4136734902858734
Swin,deletion,1,37,0.45053327083587646
Swin,deletion,1,38,0.4569709599018097
Swin,deletion,1,39,0.43624812364578247
Swin,deletion,1,40,0.4687603712081909
Swin,deletion,1,41,0.46334996819496155
Swin,deletion,1,42,0.5004981160163879
Swin,deletion,1,43,0.4669777750968933
Swin,deletion,1,44,0.4587031304836273
Swin,deletion,1,45,0.49356260895729065
Swin,deletion,1,46,0.4922265410423279
Swin,deletion,1,47,0.5436527132987976
Swin,deletion,1,48,0.39262187480926514
Swin,deletion,1,49,0.3537258207798004
Swin,deletion,2,0,0.5061640739440918
Swin,deletion,2,1,0.5076882839202881
Swin,deletion,2,2,0.5076688528060913
Swin,deletion,2,3,0.502227783203125
Swin,deletion,2,4,0.4965628981590271
Swin,deletion,2,5,0.4889221787452698
Swin,deletion,2,6,0.4878630042076111
Swin,deletion,2,7,0.49687379598617554
Swin,deletion,2,8,0.5160513520240784
Swin,deletion,2,9,0.5192449688911438
Swin,deletion,2,10,0.4954812526702881
Swin,deletion,2,11,0.5079751014709473
Swin,deletion,2,12,0.5067461729049683
Swin,deletion,2,13,0.5376426577568054
Swin,deletion,2,14,0.5418375730514526
Swin,deletion,2,15,0.5430869460105896
Swin,deletion,2,16,0.5324453711509705
Swin,deletion,2,17,0.5393699407577515
Swin,deletion,2,18,0.5436549782752991
Swin,deletion,2,19,0.5242300629615784
Swin,deletion,2,20,0.5298852324485779
Swin,deletion,2,21,0.5358042120933533
Swin,deletion,2,22,0.5652893781661987
Swin,deletion,2,23,0.5476992130279541
Swin,deletion,2,24,0.5344009399414062
Swin,deletion,2,25,0.5244846940040588
Swin,deletion,2,26,0.5515779256820679
Swin,deletion,2,27,0.5527138710021973
Swin,deletion,2,28,0.5265365242958069
Swin,deletion,2,29,0.5717126131057739
Swin,deletion,2,30,0.580426037311554
Swin,deletion,2,31,0.5359826683998108
Swin,deletion,2,32,0.5622047185897827
Swin,deletion,2,33,0.5677869319915771
Swin,deletion,2,34,0.5337779521942139
Swin,deletion,2,35,0.527493417263031
Swin,deletion,2,36,0.5169288516044617
Swin,deletion,2,37,0.638802170753479
Swin,deletion,2,38,0.5602756142616272
Swin,deletion,2,39,0.5098907351493835
Swin,deletion,2,40,0.5121088624000549
Swin,deletion,2,41,0.5002644062042236
Swin,deletion,2,42,0.5509116053581238
Swin,deletion,2,43,0.4705926775932312
Swin,deletion,2,44,0.4557223916053772
Swin,deletion,2,45,0.4572259783744812
Swin,deletion,2,46,0.4280626177787781
Swin,deletion,2,47,0.4092680513858795
Swin,deletion,2,48,0.40939581394195557
Swin,deletion,2,49,0.3434942960739136
Swin,deletion,3,0,0.7271894216537476
Swin,deletion,3,1,0.6770428419113159
Swin,deletion,3,2,0.6862994432449341
Swin,deletion,3,3,0.6827215552330017
Swin,deletion,3,4,0.6455066204071045
Swin,deletion,3,5,0.6730571389198303
Swin,deletion,3,6,0.6343612670898438
Swin,deletion,3,7,0.633959949016571
Swin,deletion,3,8,0.6188113689422607
Swin,deletion,3,9,0.6181829571723938
Swin,deletion,3,10,0.6069020628929138
Swin,deletion,3,11,0.6040643453598022
Swin,deletion,3,12,0.6166581511497498
Swin,deletion,3,13,0.6446150541305542
Swin,deletion,3,14,0.6169893145561218
Swin,deletion,3,15,0.5835229158401489
Swin,deletion,3,16,0.6372694373130798
Swin,deletion,3,17,0.589026689529419
Swin,deletion,3,18,0.6652451753616333
Swin,deletion,3,19,0.6089287996292114
Swin,deletion,3,20,0.5909892916679382
Swin,deletion,3,21,0.6012728810310364
Swin,deletion,3,22,0.594588577747345
Swin,deletion,3,23,0.5756482481956482
Swin,deletion,3,24,0.5710777044296265
Swin,deletion,3,25,0.595227837562561
Swin,deletion,3,26,0.6048724055290222
Swin,deletion,3,27,0.6284938454627991
Swin,deletion,3,28,0.6150370836257935
Swin,deletion,3,29,0.6348907351493835
Swin,deletion,3,30,0.6438172459602356
Swin,deletion,3,31,0.6636306047439575
Swin,deletion,3,32,0.6256911158561707
Swin,deletion,3,33,0.6290459036827087
Swin,deletion,3,34,0.6219124794006348
Swin,deletion,3,35,0.5474664568901062
Swin,deletion,3,36,0.5389097929000854
Swin,deletion,3,37,0.5414056181907654
Swin,deletion,3,38,0.6546328663825989
Swin,deletion,3,39,0.5426886081695557
Swin,deletion,3,40,0.5330789089202881
Swin,deletion,3,41,0.5723562836647034
Swin,deletion,3,42,0.6091743111610413
Swin,deletion,3,43,0.5192395448684692
Swin,deletion,3,44,0.584001898765564
Swin,deletion,3,45,0.5703524947166443
Swin,deletion,3,46,0.5281068682670593
Swin,deletion,3,47,0.45230069756507874
Swin,deletion,3,48,0.4417353868484497
Swin,deletion,3,49,0.4101383090019226
Swin,insertion,0,0,0.26898086071014404
Swin,insertion,0,1,0.30620503425598145
Swin,insertion,0,2,0.3623718023300171
Swin,insertion,0,3,0.36892378330230713
Swin,insertion,0,4,0.4079759120941162
Swin,insertion,0,5,0.47360849380493164
Swin,insertion,0,6,0.4367682933807373
Swin,insertion,0,7,0.44841164350509644
Swin,insertion,0,8,0.4560514986515045
Swin,insertion,0,9,0.5008575320243835
Swin,insertion,0,10,0.49429863691329956
Swin,insertion,0,11,0.4722714126110077
Swin,insertion,0,12,0.4518338739871979
Swin,insertion,0,13,0.4806457757949829
Swin,insertion,0,14,0.4427713453769684
Swin,insertion,0,15,0.4763856530189514
Swin,insertion,0,16,0.48197034001350403
Swin,insertion,0,17,0.49298691749572754
Swin,insertion,0,18,0.5070621371269226
Swin,insertion,0,19,0.510237991809845
Swin,insertion,0,20,0.5374964475631714
Swin,insertion,0,21,0.4889647960662842
Swin,insertion,0,22,0.47606855630874634
