imagen_idx,y0,y1,x0,x1,score_abs,score_pct
0,32,48,80,96,2.9021988666499965e-05,0.008354528815128496
0,32,48,96,112,2.9021988666499965e-05,0.008354528815128496
0,32,48,64,80,2.9021988666499965e-05,0.008354528815128496
0,32,48,48,64,2.775888606265653e-05,0.007990920820461517
0,32,48,112,128,2.7645231966744177e-05,0.007958203337515452
0,32,48,128,144,2.7645231966744177e-05,0.007958203337515452
0,32,48,144,160,2.7645231966744177e-05,0.007958203337515452
0,64,80,32,48,2.7433497962192632e-05,0.00789725169624456
