modelo,AUC,F1,Precision,Recall,Sensibilidad,Especificidad,SHAP_dir,shap_abs_total,shap_abs_media,shap_abs_max,shap_pos_ratio,shap_neg_ratio,shap_top10_share,shap_entropy_norm,FaithCorr,DeletionAUC,InsertionAUC,PixelFlipping,SensitivityN,Sparsity,Dice,IoU,HD95,SHAP_clase_segmentacion
ViT,1.0,0.898989898989899,0.9166666666666667,0.9,0.8999999982,0.8999999982,/content/resultados_shap/ViT,0.398921936750412,7.950452982186107e-06,3.5660644698509714e-05,0.7502673864364624,0.24973257072269917,0.28347570821642876,0.9683652578882984,0.16464355684725582,0.4921159361850242,0.496075768403861,0.4877425506711006,-0.01440751436545596,0.9683652578882984,,,,
Swin,1.0,0.7916666666666667,0.8571428571428571,0.8,0.7999999984,0.7999999984,/content/resultados_shap/Swin,0.2731492556631565,5.443822828965494e-06,2.176734096792643e-05,0.763034924864769,0.23696506395936012,0.2822789400815964,0.9664033085530863,0.109894851562108,0.5245859266391821,0.554143234251105,0.5191680192947388,0.056296484918062016,0.9664033085530863,,,,
BEiT,,1.0,1.0,1.0,0.49999999900000003,0.49999999900000003,/content/resultados_shap/BEiT,0.34266548231244087,6.829270716934843e-06,7.98671253505745e-05,0.9300544261932373,0.06994556356221437,0.3344760686159134,0.9625563767156181,0.05748959887055666,0.8166315005141862,0.9222254190517931,0.7969459891319275,-0.012992790363495488,0.9625563767156181,,,,
TransUNet,,,,,,,/content/resultados_shap/TransUNet,0.0034738031681627035,6.923236384182019e-08,1.1336714322851549e-07,1.0,0.0,0.15761171281337738,0.9916055186606126,,,,,,,0.008430093457342922,0.004375465948845766,148.8430910194922,6.0
