imagen_idx,y0,y1,x0,x1,score_abs,score_pct
0,112,128,112,128,0.016891881823539734,0.032704756451197456
0,208,224,112,128,0.01481018215417862,0.028674330391969503
0,112,128,128,144,0.012719840742647648,0.024627172859248446
0,0,16,112,128,0.011188681237399578,0.02166266012880238
0,208,224,128,144,0.010607201606035233,0.02053684419403769
0,208,224,96,112,0.008098871447145939,0.0156804091441933
0,0,16,128,144,0.007058093324303627,0.013665334957499786
0,208,224,80,96,0.006158400792628527,0.01192341979157723
1,0,16,208,224,0.01633576676249504,0.04516208135129312
1,0,16,176,192,0.014428207650780678,0.039888417675864485
1,0,16,192,208,0.011193251237273216,0.030945013497853485
1,0,16,160,176,0.004939881619066,0.013656863420590477
1,0,16,16,32,0.004272744990885258,0.01181248849088107
1,0,16,32,48,0.0041771866381168365,0.011548306578622679
1,0,16,48,64,0.004154703579843044,0.011486149612160716
1,16,32,208,224,0.0040696365758776665,0.011250972224453669
2,208,224,208,224,0.0303047988563776,0.09460576423628565
2,208,224,192,208,0.0227587278932333,0.07104837935368409
2,192,208,208,224,0.0055302819237113,0.01726447848455914
2,0,16,112,128,0.0051046875305473804,0.015935854493000213
2,128,144,0,16,0.004710540175437927,0.014705402117171518
2,0,16,80,96,0.00459393672645092,0.014341388534494957
2,0,16,96,112,0.004460862837731838,0.013925957400903596
2,192,208,192,208,0.004362280946224928,0.013618203660973818
3,64,80,0,16,0.006677558179944754,0.03879496726666597
3,64,80,16,32,0.004957139026373625,0.028799756000938096
3,48,64,0,16,0.0042267790995538235,0.02455654483147837
3,48,64,16,32,0.003102325601503253,0.018023747141931192
3,32,48,208,224,0.0030691465362906456,0.01783098495039723
3,112,128,208,224,0.0028254278004169464,0.016415039162176244
3,16,32,208,224,0.002791224978864193,0.016216329198622224
3,96,112,144,160,0.0025057457387447357,0.014557765173076189
